Chart Title: ,Avg Percentage CPU for AFAS Next Production V1 in West Europe region  by VMName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mon, 03 Feb 2025 00:00:00 GMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, 09 Feb 2025 23:59:00 GMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain: 5 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregation type: Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grouping: VMName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart type: Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clstr004-SS_4,Clstr004-SS_2,Clstr004-SS_1,Clstr004-SS_0,Clstr003-SS_1,Clstr003-SS_4,Clstr004-SS_3,Clstr003-SS_3,Clstr003-SS_2,Clstr003-SS_0,Dbg002-SS_0,Clstr008-SS_1,Clstr008-SS_0,Clstr008-SS_2,Clstr008-SS_4,Clstr008-SS_3,Clstr009-SS_5,Clstr009-SS_6,Clstr009-SS_8,Clstr009-SS_7,Clstr009-SS_9,Clstr009-SS_1,Clstr009-SS_3,Clstr009-SS_4,Clstr009-SS_2,Clstr009-SS_0,proxy001L-SS_6,proxy001L-SS_7,proxy001L-SS_5,proxy001L-SS_8
2/3/2025 0:00,35.74,39.175,35.816,36.947,27.568,27.74,35.544,28.89333333,28.635,27.517,4.69,0.483,0.71,0.48,0.457,0.53,0.79,0.696,0.52,0.457,0.573,0.734,0.547,0.419,0.604,0.505,0.919,0.971,0.997,0.925
2/3/2025 0:05,34.885,37.643,36.109,39.835,29.042,28.957,37.221,30.876,25.899,28.564,4.335,0.676,0.937,4.555,0.674,0.49,0.712,0.462,0.478,3.835,0.632,0.442,0.555,0.536,3.814,0.564,0.554,0.658,0.556,0.484
2/3/2025 0:10,36.803,39.05,34.879,34.863,28.945,26.404,34.2,26.785,24.68,25.38,5.199,4.307,4.35,0.517,4.173,4.526,4.24,3.76,3.83,0.51,3.836,3.86,2.245,3.899,0.528,3.998,0.488,0.596,0.42,0.354
2/3/2025 0:15,34.515,37.052,34.264,34.53,26.358,26.328,34.255,26.249,26.073,25.337,4.287,0.535,0.775,0.515,0.515,0.475,0.766,0.544,0.479,0.615555556,0.657,0.44,1.997,0.451,0.449,0.547,0.547,0.481,0.418,0.364
2/3/2025 0:20,34.139,36.716,35.365,36.071,26.06,28.084,34.649,27.188,25.775,26.53,4.347,0.46,0.707,7.678,0.437,0.515,0.791,0.634,0.757,2.391,0.599,0.566,0.412,0.596,2.352,0.546,0.444,0.442,0.489,0.418
2/3/2025 0:25,35.155,37.525,34.344,33.936,27.047,26.402,33.556,26.263,25.467,26.912,5.933,7.701,7.806,0.492,7.666,8.009,2.553,2.14,2.149,0.647,2.181,2.204,2.325,2.23,0.601,2.311,0.487,0.424,0.521,0.358
2/3/2025 0:30,34.155,36.058,34.459,33.969,25.817,25.608,34.302,26.258,28.274,25.554,4.403,0.47,0.713,0.482,0.44,0.51,0.777,0.64,0.646,0.503,0.504,0.436,0.509,0.563,0.545,0.757,0.41,0.473,0.417,0.395
2/3/2025 0:35,33.653,36.68,35.5,36.42,25.369,28.241,36.129,28.356,25.461,27.403,4.288,0.527,0.819,4.59,0.512,0.49,0.809,0.678,0.568,3.883,0.648,0.703,0.552,0.556,3.753,0.625,0.397,0.416,0.418,0.39
2/3/2025 0:40,36.13,39.059,35.383,34.555,29.106,26.179,33.955,26.203,26.681,25.61,5.484,4.479,4.552,1.029,4.401,4.585,4.076,3.795,3.75,0.464,3.991,3.897,2.505,3.875,0.598,3.882,0.491,0.432,0.424,0.416
2/3/2025 0:45,33.93,36.415,34.222,34.101,27.649,26.119,34.219,25.934,26.281,24.642,4.316,0.497,0.971,1.068,0.488,0.467,0.804,0.564,0.496,0.567,0.552,0.509,2.109,0.41,0.46,0.632,0.416,0.451,0.44,0.399
2/3/2025 0:50,34.198,36.71,35.509,36.015,26.293,27.117,35.069,29.957,24.934,26.393,4.322,0.444,0.718,7.996,0.426,0.507,0.683,0.561,0.584,2.221,0.456,0.611,0.633,0.579,2.066,0.48,0.445,0.438,0.47,0.356
2/3/2025 0:55,35.375,37.814,33.465,34.665,27.011,26.34,33.858,26.588,24.836,25.47,6.478,7.746,7.696,0.505,7.757,7.696,2.338,2.364,2.191,0.466,2.165,2.199,2.295,2.163,0.548,2.236,0.417,0.424,0.455,0.393
2/3/2025 1:00,36.701,38.334,37.153,36.414,27.483,27.786,35.926,28.536,28.505,27.028,4.389,0.444,0.69,0.474,0.435,0.518,1.104,0.612,0.507,0.534,0.988,0.768,0.825,0.414,0.479,0.454,0.485,0.482,0.402,0.356
2/3/2025 1:05,34.811,37.323,36.118,36.951,26.701,28.989,35.662,29.127,25.826,28.049,5.056,0.674,0.956,4.395,0.646,0.483,0.896,0.413,0.588,3.841,0.602,0.478,0.577,0.54,3.804,0.523,0.402,0.489,0.412,0.396
2/3/2025 1:10,36.528,37.993,35.61,33.729,29.703,26.595,33.716,26.36,25.253,25.371,5.222,4.314,4.338,0.471,4.174,4.438,4.136,4.58,3.787,0.474,4.044,3.938,2.317,3.758,0.401,3.74,0.394,0.427,0.392,0.425
2/3/2025 1:15,34.43,36.806,34.534,34.57,25.531,26.509,34.05,26.17,26.518,25.519,4.27,0.524,0.773,0.465,0.516,0.54,0.783,0.588333333,0.566,0.555,0.536,0.579,2.133,0.443,0.5,0.482,0.393,0.536,0.422,0.353
2/3/2025 1:20,33.61,36.969,36.079,37.383,25.921,27.204,35.292,27.203,25.496,26.861,4.316,0.451,0.72,7.639,0.43,0.511,0.774,0.646,0.569,2.383,0.669,0.622,0.478,0.623,2.249,0.704,0.441,0.427,0.406,0.36
2/3/2025 1:25,38.514,39.363,36.807,35.785,27.288,27.483,34.941,26.153,25.384,25.275,5.948,7.689,7.794,0.495,7.572,7.826,2.652,2.228,2.165,0.575,2.209,2.178,2.268,2.097,0.522,2.351,0.435,0.594,0.413,0.356
2/3/2025 1:30,39.009,37.544,35.342,35.528,26.627,27.673,34.26,26.966,27.024,24.87,6.168,0.454,0.711,0.475,0.434,0.531,0.704,0.606,0.451,0.556,0.639,0.559,0.473,0.647,0.524,0.489,0.434,0.423,0.446,0.387
2/3/2025 1:35,35.108,37.372,36.26,37.037,27.211,28.34,36.49,29.152,24.624,27.354,4.948,0.535,0.775,4.52,0.512,0.487,0.775,0.539,0.626666667,3.89,0.525,0.44,0.44,0.581,3.843,0.709,0.396,0.424,0.417,0.358
2/3/2025 1:40,37.155,39.614,35.651,35.135,28.168,27.02,34.563,27.818,25.437,25.404,5.263,4.532,4.551,0.625,4.529,4.997777778,4.142,3.886,3.799,0.411,3.939,3.864,2.516,3.716,0.485,3.876,0.448,0.404,0.447,0.388
2/3/2025 1:45,34.653,37.223,35.016,36.676,26.568,28.569,34.134,27.915,26.682,27.441,4.282222222,0.499,0.97,0.502,0.502,0.491,0.859,0.454,0.435,0.443,0.475,0.457,1.916,0.537,0.545,0.565,0.478,0.477,0.397,0.34
2/3/2025 1:50,34.482,36.086,35.726,35.611,26.333,27.364,34.387,27.299,27.91,26.893,4.274,0.448,0.714,7.663,0.437,0.509,0.722,0.472,0.52,2.327,0.589,0.514,0.533,0.476,2.195,0.486,0.423,0.423,0.406,0.332
2/3/2025 1:55,35.566,42.348,34.748,33.967,27.193,25.867,34.143,26.162,26.814,31.521,6.025,7.78,7.66,0.492,7.557,7.682,2.514,2.204,2.137,0.503,2.245,2.163,2.114,2.231,0.526,2.162,0.479,0.418,0.398,0.39
2/3/2025 2:00,35.52,38.328,36.078,36.644,27.555,27.069,35.802,27.214,28.542,27.051,4.452,0.668,0.702,0.471,0.445,0.537,0.795,0.576,0.672,0.499,0.582,0.483,0.615,0.551,0.62,0.622,0.432,0.415,0.465,0.345
2/3/2025 2:05,34.209,37.406,35.986,38.317,27.206,28.795,36.312,29.338,26.102,28.904,4.346,0.705,0.934,4.518,0.66,0.487,0.733,0.591,0.546,3.865,0.445,0.495,0.446,0.481,3.78,0.518,0.38,0.415,1.812,0.342
2/3/2025 2:10,36.43,38.603,34.969,34.208,28.129,26.117,33.498,25.943,25.429,25.46,5.378,4.251,4.388,0.485,4.183,4.404,4.035,3.806,3.762,0.481,3.999,3.853,2.303,3.806,0.434,3.914,0.433,0.515,0.407,0.39
2/3/2025 2:15,33.953,36.427,34.792,34.448,25.909,26.238,33.708,25.428,25.851,25.057,4.281,0.579,0.837,0.552,0.538,0.51,0.63,0.441,0.451,0.605,0.433,0.557,2.127,0.537,0.566,0.463,0.406,0.488,0.446,0.376
2/3/2025 2:20,34.885,37.091,34.817,35.558,26.69,27.153,36.64555556,27.033,24.716,26.858,4.578,0.448,0.722,7.651,0.443,0.525,0.821,0.514,0.649,2.246,0.689,0.548,0.502,0.753,2.216,0.528,0.392,0.42,0.41,0.395
2/3/2025 2:25,35.565,38.102,35.031,34.564,27.175,26.064,33.95,26.124,29.722,25.643,6.197,7.8,7.674,0.514,7.58,7.881,2.676,2.107,2.274,0.479,2.182,2.251,2.24,2.07,0.588,2.418,0.399,0.408,0.441,0.387
2/3/2025 2:30,32.151,39.942,33.48,32.472,26.193,26.338,31.173,26.559,27.413,25.652,4.299,0.458,0.743,0.496,0.451,0.567,0.806,0.537,0.568,0.581,0.532,0.405,0.486,0.551,0.588,0.629,0.39,0.482,0.485,0.345
2/3/2025 2:35,34.364,36.746,35.845,36.346,25.979,28.331,35.922,28.089,26.349,27.573,4.977,0.515,0.745,4.377,0.505,0.498,0.754,0.622,0.665,3.99,0.475,0.485,0.429,0.53,3.844,0.626,0.425,0.405,0.401,0.347
2/3/2025 2:40,36.55,39.066,38.83,34.647,27.703,25.787,36.412,26.246,27.448,25.574,5.227,4.507,4.734,0.633,4.458,4.666,4.236,3.724,3.702,0.494,3.997,3.94,2.491,3.796,0.65,3.883,0.425,0.397,0.493,0.337
2/3/2025 2:45,34.222,36.977,34.91,34.885,26.148,26.077,35.776,26.381,27.218,25.858,4.294,0.509,0.749,0.494,0.509,0.501,0.705,0.468,0.471,0.584,0.621,0.554,1.84,0.566,0.571,0.463,0.426,0.484,0.395,0.347
2/3/2025 2:50,34.875,37.101,36.226,35.939,26.222,27.189,38.436,27.787,25.476,26.615,4.365,0.439,0.745,7.659,0.444,0.521,0.817,0.475,0.47,2.209,0.992,0.58,0.382,0.56,2.111,0.613,0.415,0.467,0.399,0.338
2/3/2025 2:55,36.058,38.262,34.679,34.807,27.295,26.18,34.572,26.216,25.554,25.283,6.047,7.717,7.668,0.518,7.664,7.712,2.504,2.066,2.096,0.568,2.297,2.174,2.307,2.247,0.612,2.095,0.405,0.479,0.493,0.361
2/3/2025 3:00,37.839,38.985,36.218,36.553,27.066,27.633,35.787,26.976,27.702,26.796,4.36,0.442,0.745,0.481,0.451,0.559,0.732,0.499,0.587,0.673,0.508,0.509,0.455,0.445,0.513,0.663,0.435,0.436,0.508,0.386
2/3/2025 3:05,34.844,37.255,35.301,37.049,27.018,28.614,36.108,28.98,25.782,28.52,4.609,0.652,0.907,4.407,0.657,0.501,0.794,0.481,0.431,3.99,0.593,0.411,0.607,0.491,3.917,0.472,0.396,0.412,0.486,0.448
2/3/2025 3:10,36.864,39.7,35.829,34.688,27.937,26.381,33.847,26.024,25.386,25.453,5.412,4.245,4.409,0.489,4.194,4.466,4.102,3.754,3.803,0.444,3.882,3.825,2.449,3.897,0.603,3.795,0.399,0.427,0.45,0.387
2/3/2025 3:15,34.458,36.361,34.529,34.468,25.98,26.169,33.676,26.376,26.554,25.563,4.383,0.515,0.754,0.502,0.531,0.5,0.691,0.534,0.553,0.431,0.483,0.41,2.025,0.431,0.661,0.57,0.431,0.423,0.501,0.345
2/3/2025 3:20,34.508,36.813,35.753,34.947,26.087,27.305,36.6,27.684,25.391,26.628,4.337,0.444,0.742,7.739,0.432,0.587,0.751,0.517,0.621,2.368,0.636,0.599,0.49,0.662,2.26,0.539,0.389,0.409,0.447,0.384
2/3/2025 3:25,40.023,38.114,34.402,34.829,26.359,25.844,33.85,26.565,25.531,26,6.064,7.782,7.676,0.555,7.663,7.711,2.572,2.19,2.179,0.715,2.118,2.256,2.326,2.136,0.486,2.316,0.427,0.404,0.442,0.35
2/3/2025 3:30,33.529,37.225,34.502,34.665,26.016,26.148,34.456,26.083,27.376,26.361,4.354,0.466,0.768,0.567,0.44,0.592,0.802,0.509,0.619,0.624,0.595,0.557,0.53,0.475,0.581,0.48,0.424,0.462,0.394,0.354
2/3/2025 3:35,34.32,36.657,35.687,36.748,26.651,31.141,35.617,28.544,25.571,27.831,4.354,0.573,0.783,4.397,0.505,0.483,0.811,0.484,0.586,4.023,0.568,0.444,0.736,0.54,3.733,0.714,0.387,0.417,0.405,0.389
2/3/2025 3:40,36.614,39.112,35.44,34.564,28.043,26.918,34.234,26.002,25.223,24.769,5.568,4.601,4.635,1.583,4.494,4.489,4.051,3.795,3.816,0.481,3.873,3.816,2.518,3.853,0.627,3.819,0.441,0.408,0.399,0.401
2/3/2025 3:45,34.296,36.952,34.025,34.539,27.536,26.358,33.913,26.305,25.637,25.822,4.316,0.518,1.006,0.524,0.506,0.511,0.769,0.617,0.539,0.558,0.621,0.56,2.059,0.477,0.643,0.519,0.397,0.421,0.532,0.374
2/3/2025 3:50,34.438,37.038,35.306,35.861,26.102,27.869,35.497,27.138,25.277,27.347,4.307,0.445,0.74,7.949,0.426,0.508,0.753,0.71,0.479,2.292,0.438,0.528,0.442,0.501,2.333,0.652,0.398,0.409,0.455,0.422
2/3/2025 3:55,35.654,39.554,35.291,34.758,27.321,27.745,33.913,26.302,25.553,26.569,6.066,7.745,7.738,0.522,7.583,7.864,2.534,2.12,2.173,0.581,2.195,2.203,2.206,2.158,0.567,2.304,0.449,0.464,0.412,0.392
2/3/2025 4:00,36.386,39.846,36.634,36.767,29.202,28.041,35.78,27.515,28.872,27.928,4.841,0.452,0.728,0.471,0.452,0.552,1.199,0.677,1.09,0.667,0.854,0.709,0.777,1.478,0.628,0.826,0.458,0.498,0.461,0.472
2/3/2025 4:05,34.887,38.042,36.631,39.175,27.422,29.204,36.772,32.332,25.955,28.655,4.348,0.649,0.892,4.429,0.639,0.484,0.633,0.554,0.62,3.952,0.449,0.471,0.51,0.447,3.738,0.567,0.378,0.45,0.393,0.339
2/3/2025 4:10,36.54,39.595,35.976,34.956,28.721,25.909,34.91,26.472,25.614,25.731,5.256,4.277,4.438,0.487,4.274,4.47,4.117,3.772,3.71,0.429,3.91,3.867,2.561,3.949,0.524,3.974,0.437,0.424,0.462,0.401
2/3/2025 4:15,33.811,37.119,34.848,34.779,26.486,27.129,34.249,26.388,26.294,25.74,4.413,0.525,0.851,0.471,0.52,0.517,0.85,0.521,0.514,0.534,0.487,0.446,1.987,0.436,0.471111111,0.475,0.393,0.445,0.396,0.39
2/3/2025 4:20,34.93,37.734,36.333,36.821,26.028,27.777,35.871,27.304,25.996,26.495,4.44,0.533,0.754,7.615,0.527,0.509,0.867,0.599,0.538,2.39,0.571,0.554,0.388,0.486,2.228,0.679,0.38,0.409,0.453,0.338
2/3/2025 4:25,36.386,38.973,35.449,35.493,27.131,26.691,34.764,25.586,25.163,26.946,6.192,7.982,7.774,0.535,7.682,7.685,2.819,2.198,2.274,0.592,2.161,2.164,2.293,2.154,0.596,2.253,0.407,0.405,0.435,0.407
2/3/2025 4:30,35.588,38.494,35.498,35.814,26.019,26.579,35.99,26.443,27.414,25.876,4.454,0.474,0.759,0.475,0.437,0.559,1.26,1.034,0.698,0.97,0.618,1.167,0.841,1.088,0.895,0.814,0.55,0.601,0.475,0.377
2/3/2025 4:35,34.484,36.161,35.948,36.703,26.156,28.798,35.584,28.429,25.665,27.88,4.377,0.518,0.765,4.366,0.499,0.467,0.824,0.746,0.512,3.832,0.577,0.758,0.508,0.695,3.878,0.537,0.573,0.467,0.453,0.357
2/3/2025 4:40,36.882,39.454,36.053,34.744,29.348,26.677,34.029,26.57,26.994,25.918,5.465,4.479,4.657,0.649,4.46,4.68,4.083,3.752,3.789,0.481,4.167,3.768,2.646,3.897,0.5,3.845,0.658,0.453,0.447,0.356
