Chart Title: ,Avg Available Memory Bytes (Preview) for AFAS Next Production V1 in West Europe region  by VMName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mon, 03 Feb 2025 00:00:00 GMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, 09 Feb 2025 23:59:00 GMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain: 5 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregation type: Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grouping: VMName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart type: Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dbg002-SS_0,Clstr004-SS_3,Clstr004-SS_2,Clstr004-SS_1,Clstr004-SS_0,Clstr004-SS_4,Clstr003-SS_2,Clstr003-SS_3,Clstr003-SS_4,Clstr003-SS_1,Clstr003-SS_0,Clstr009-SS_3,Clstr009-SS_7,Clstr009-SS_8,Clstr009-SS_0,Clstr009-SS_2,Clstr009-SS_9,Clstr009-SS_5,Clstr009-SS_6,Clstr009-SS_1,Clstr009-SS_4,Clstr008-SS_3,Clstr008-SS_2,Clstr008-SS_4,Clstr008-SS_1,Clstr008-SS_0,proxy001L-SS_6,proxy001L-SS_7,proxy001L-SS_5,proxy001L-SS_8
2/3/2025 1:20,1.1172E+11,1.00258E+11,97228056166,98811510784,95942816563,99468129075,93737451520,83057180672,87536907059,85754118144,89365413888,52869726208,51655370342,50736188621,49412885709,46879526093,47658932634,47420067021,47409266688,47533313229,47283122995,30001227366,30018424013,29953517158,30190809907,30023457178,2568906342,2513541530,2499805184,2528116736
2/3/2025 1:25,1.12154E+11,1.00314E+11,96633933005,98485298790,95687068877,99430065766,93510015386,83276542771,87419571405,86162957926,89482120397,52763190886,51730028954,50686276403,49355528602,46942335795,47600736666,47352014438,47397208064,47497976218,47261102899,29918914150,30104512102,29859459891,30096857498,29893643469,2556847718,2510920090,2499805184,2528641024
2/3/2025 1:30,1.12506E+11,1.00323E+11,96703034163,98458035814,96312754176,94827131699,93550490419,82647502029,87261236429,85550694400,89698861056,52693775155,51754565632,50744996659,49408481690,46962887885,47652955750,47399829504,47474173542,47567391949,47317726003,29980255846,30101680947,29961486336,30189446758,30012551987,2563768320,2511339520,2497708032,2528116736
2/3/2025 1:35,1.10253E+11,1.00245E+11,96817958093,98458979533,96597547418,98161288806,93782959718,82835826278,86932507853,86056317747,89628291891,52665358746,51665646387,50764826396,49433542656,46868620902,47677282714,47411888128,47478472704,47577667994,47346247270,29997347635,30019682304,29951210291,30173613261,30012132557,2572156928,2511339520,2521930138,2527277875
2/3/2025 1:40,1.1235E+11,1.00294E+11,96786920243,98401307853,96798664294,99032655462,93689951027,85001869722,87362738586,86756766515,89741747814,52542570496,51834257408,50654504550,49324490752,46955128422,47561519923,47314160845,47357781606,47427826483,47245269402,29918669483,30065924506,29874559386,30097067213,29936844800,2563348890,2508927795,2514799821,2534617907
2/3/2025 1:45,1.12443E+11,1.0031E+11,96913588224,98534791578,95789095322,99419999437,93031655014,85400328602,87492028006,87091681690,88703238144,52483745382,51853656064,50771945062,49434381517,46949361254,47693850214,47428875059,47490845901,47571166822,47376760832,29998291354,30053446451,29955194880,30182840730,29997347635,2566284902,2503580058,2510815232,2543425946
2/3/2025 1:50,1.1252E+11,1.00228E+11,96934454886,98489178522,97894635930,99474735104,92348298035,85730630042,86999197286,87663155610,87247919514,52499998310,51798710682,50750239539,49416031437,46878372659,47666692096,47413356134,47483715584,47556381901,47398571213,30006365389,29978578125,29960542618,30190495334,30026498048,2564292608,2521930138,2507354931,2539651072
2/3/2025 1:55,1.1248E+11,1.00301E+11,94016477594,98522103808,97954090189,99462676480,91874341683,86041847398,88374509568,88730710835,84008763392,52391051264,51862359245,50697391309,49347244851,46948312678,47624119910,47338907238,47406645248,47492838195,47329155482,29962430054,30087944602,29869211648,30123910758,29919648154,2577190093,2521825280,2506096640,2548878541
2/3/2025 2:00,1.12344E+11,1.00254E+11,95823698330,98562683699,98606409318,99550547149,91624361165,86115247718,88959824691,87453230694,86253240320,52386227814,51876934451,50710603366,49364336640,46963831603,47635549389,47381793997,47477633843,47537717248,47378333696,29985813299,30089832038,29967882650,30149705728,30030692352,2569640346,2517840691,2515009536,2562719744
2/3/2025 2:05,1.12457E+11,1.00041E+11,96421386650,98519482368,97811798426,99552015155,91986329600,86281027584,89383763968,87635473203,86799128986,52444633498,51780675174,50772574208,49285169152,46867782042,47631669658,47424680755,47484239872,47542435840,47396893491,30010664550,29991265894,29953517158,30178436710,30028385485,2557476864,2514590106,2524971008,2561251738
2/3/2025 2:10,1.12311E+11,1.0009E+11,96404714291,98532799283,96792687411,99022169702,92153787187,86765574554,89355137843,87774094950,87131213005,52433099162,51876410163,50643179930,49193628467,46950304973,47480360141,47304094515,47355579597,47427826483,47286688154,29927827046,30075151974,29876971110,30094445773,29941877965,2556428288,2511339520,2526019584,2557476864
2/3/2025 2:15,1.12218E+11,1.00008E+11,96590626816,98191278080,97395723469,99119687270,92421174067,86875045888,89403057766,87884510003,87557459149,52445891789,51867497267,50774776218,49288629453,46951143834,47615416730,47430657638,47481933005,47537192960,47406016102,30002695373,30077563699,29957396890,30169104384,30020835738,2587466138,2510395802,2525705011,2551604838
2/3/2025 2:20,1.12411E+11,99010740224,96579721626,98535735296,97597888922,99027622298,92377867878,86882490778,89283205530,86296336794,87880105984,52890592870,51799130112,50743423795,49264092774,46877743514,47582281728,47486337024,47469035520,47519262310,47383262003,30007413965,29978892698,29960752333,30177702707,30028280627,2585788416,2502112051,2528536166,2548983398
