timestamp,cpu_power_w,dram_power_w,read_bytes,write_bytes,cpu_percent,memory_rss_mb,memory_vms_mb,thread_count,io_read_count,io_write_count,io_read_bytes_total,io_write_bytes_total
2025-05-13 15:20:58,38.172,3.783,0,0,89.90,30556.26,31847.90,25,2024438,2268089,10161504256,27315945472
2025-05-13 15:20:58,37.317,3.761,0,0,59.90,30556.26,31847.90,25,2024639,2268290,10161504256,27315945472
2025-05-13 15:20:58,38.558,3.786,0,12288,59.90,30556.26,31847.90,25,2024848,2268502,10161504256,27315957760
2025-05-13 15:20:59,38.345,3.777,0,0,59.90,30556.26,31847.90,25,2025049,2268703,10161504256,27315957760
2025-05-13 15:20:59,39.310,3.816,0,0,59.90,30556.26,31847.90,25,2025251,2268905,10161504256,27315957760
2025-05-13 15:20:59,41.045,3.736,0,0,59.90,30556.26,31847.90,25,2025454,2269108,10161504256,27315957760
2025-05-13 15:20:59,40.446,3.811,0,0,69.90,30556.26,31847.90,25,2025655,2269309,10161504256,27315957760
2025-05-13 15:20:59,39.275,3.740,0,0,109.80,30556.26,31847.90,25,2025856,2269510,10161504256,27315957760
2025-05-13 15:21:00,36.939,3.799,0,0,79.90,30556.26,31847.90,25,2026059,2269713,10161504256,27315957760
2025-05-13 15:21:00,40.012,3.770,0,0,59.90,30556.26,31847.90,25,2026258,2269912,10161504256,27315957760
2025-05-13 15:21:00,38.156,3.772,0,0,49.90,30556.26,31847.90,25,2026459,2270113,10161504256,27315957760
2025-05-13 15:21:00,45.899,3.854,0,0,49.90,30556.26,31847.90,25,2026660,2270314,10161504256,27315957760
2025-05-13 15:21:00,46.071,3.996,0,466944,69.90,30556.26,31847.90,25,2026906,2270826,10161504256,27319267328
2025-05-13 15:21:01,42.003,3.931,0,2842624,109.80,30556.26,31847.90,25,2027191,2271084,10162135040,27319267328
2025-05-13 15:21:01,43.704,3.917,1945600,0,49.90,30556.26,31847.90,25,2027507,2271359,10163449856,27319267328
2025-05-13 15:21:01,43.145,4.013,0,0,69.90,30556.26,31847.90,25,2027708,2271560,10163449856,27319267328
2025-05-13 15:21:01,38.871,3.735,0,0,69.90,30556.26,31847.90,25,2027909,2271761,10163449856,27319267328
2025-05-13 15:21:01,44.182,3.817,0,0,59.90,30556.26,31847.90,25,2028111,2271963,10163449856,27319267328
2025-05-13 15:21:02,44.398,3.808,0,0,59.90,30556.26,31847.90,25,2028312,2272164,10163449856,27319267328
2025-05-13 15:21:02,45.907,3.880,0,0,49.90,30556.26,31847.90,25,2028512,2272364,10163449856,27319267328
2025-05-13 15:21:02,41.277,3.738,0,0,79.90,30556.26,31847.90,25,2028713,2272565,10163449856,27319267328
2025-05-13 15:21:02,38.397,3.827,0,0,59.90,30556.26,31847.90,25,2028912,2272764,10163449856,27319267328
2025-05-13 15:21:02,45.384,3.795,0,0,59.90,30556.26,31847.90,25,2029113,2272965,10163449856,27319267328
2025-05-13 15:21:03,43.778,3.788,0,0,69.90,30556.26,31847.90,25,2029324,2273173,10163515392,27319267328
2025-05-13 15:21:03,43.883,3.885,188416,0,189.70,30556.26,31847.90,25,2029596,2273423,10163777536,27319267328
