timestamp,cpu_power_w,dram_power_w,read_bytes,write_bytes,cpu_percent,memory_rss_mb,memory_vms_mb,thread_count,io_read_count,io_write_count,io_read_bytes_total,io_write_bytes_total
2025-05-21 05:44:40,38.466,4.031,0,0,269.50,30555.17,31747.89,21,1995686,2224995,9385693184,26922061824
2025-05-21 05:44:40,38.754,3.936,0,204800,279.50,30555.17,31747.89,21,1995897,2225209,9385693184,26922258432
2025-05-21 05:44:40,36.639,3.948,0,8192,149.70,30555.17,31747.89,21,1996106,2225422,9385693184,26922397696
2025-05-21 05:44:41,34.768,3.989,0,327680,149.80,30555.17,31747.89,21,1996325,2225647,9385693184,26922790912
2025-05-21 05:44:41,35.962,3.961,0,393216,169.70,30555.17,31747.89,21,1996547,2225873,9385693184,26923184128
2025-05-21 05:44:41,35.151,3.956,0,196608,149.70,30555.17,31747.89,21,1996754,2226082,9385693184,26923196416
2025-05-21 05:44:41,35.307,3.983,0,208896,139.80,30555.17,31747.89,21,1996963,2226294,9385693184,26923393024
2025-05-21 05:44:41,35.421,4.065,0,262144,139.80,30555.17,31747.89,21,1997189,2226527,9385693184,26923851776
2025-05-21 05:44:42,37.479,4.069,0,364544,149.80,30555.17,31747.89,21,1997399,2226740,9385693184,26924019712
2025-05-21 05:44:42,36.810,4.137,0,0,149.10,30555.17,31747.89,21,1997616,2226962,9385693184,26924216320
2025-05-21 05:44:42,38.851,3.973,0,196608,139.80,30555.17,31747.89,21,1997817,2227163,9385693184,26924216320
2025-05-21 05:44:42,38.749,4.001,0,200704,139.80,30555.17,31747.89,21,1998042,2227396,9385693184,26924609536
2025-05-21 05:44:43,41.417,4.028,0,192512,149.80,30555.17,31747.89,21,1998243,2227597,9385693184,26924609536
2025-05-21 05:44:43,40.824,3.949,0,192512,139.70,30555.17,31747.89,21,1998457,2227815,9385693184,26924802048
2025-05-21 05:44:43,38.973,3.998,0,0,159.70,30555.17,31747.89,21,1998670,2228032,9385693184,26925002752
2025-05-21 05:44:43,41.594,4.190,0,200704,139.70,30555.17,31747.89,21,1998871,2228233,9385693184,26925002752
2025-05-21 05:44:43,40.974,3.968,0,192512,139.80,30555.17,31747.89,21,1999083,2228449,9385693184,26925195264
2025-05-21 05:44:44,40.166,4.002,0,0,139.80,30555.17,31747.89,21,1999299,2228670,9385693184,26925449216
2025-05-21 05:44:44,39.796,3.970,0,253952,139.80,30555.17,31747.89,21,1999500,2228871,9385693184,26925449216
2025-05-21 05:44:44,42.615,4.218,0,192512,149.70,30555.17,31747.89,21,1999702,2229077,9385693184,26925641728
2025-05-21 05:44:44,47.553,4.967,0,0,139.80,30555.17,31747.89,21,1999913,2229292,9385693184,26925834240
2025-05-21 05:44:44,44.133,4.061,0,192512,129.80,30555.17,31747.89,21,2000114,2229493,9385693184,26925834240
2025-05-21 05:44:45,41.365,3.942,0,253952,139.80,30555.17,31747.89,21,2000330,2229714,9385693184,26926088192
2025-05-21 05:44:45,39.009,4.016,0,0,149.80,30555.17,31747.89,21,2000544,2229932,9385693184,26926280704
2025-05-21 05:44:45,40.237,4.040,0,8200192,59.90,30555.17,31747.89,21,2001239,2230869,9385693184,26934288384
2025-05-21 05:44:45,40.397,3.920,0,0,49.90,30555.17,31747.89,21,2001440,2231070,9385693184,26934288384
2025-05-21 05:44:45,37.643,3.906,0,0,49.90,30555.17,31747.89,21,2001640,2231270,9385693184,26934288384
2025-05-21 05:44:46,36.013,3.900,0,0,39.90,30555.17,31747.89,21,2001841,2231471,9385693184,26934288384
2025-05-21 05:44:46,37.120,3.940,0,0,39.90,30555.17,31747.89,21,2002043,2231673,9385693184,26934288384
2025-05-21 05:44:46,39.840,4.127,0,0,59.90,30555.17,31747.89,21,2002244,2231874,9385693184,26934288384
2025-05-21 05:44:46,37.460,3.960,0,0,49.90,30555.17,31747.89,21,2002445,2232075,9385693184,26934288384
2025-05-21 05:44:46,37.416,3.942,0,0,49.90,30555.17,31747.89,21,2002646,2232276,9385693184,26934288384
