description,startTime,endTime,duration,status
Aanmaken aanmaken met gebruik van de KvK koppeling in een geconverteerde omgeving - Mantel Utrecht B.V.,2025-05-14 12:36:04,2025-05-14 12:41:52,347945,Succeeded
Instellen variabelen administratie urls na aanmaken adminstratie,2025-05-14 12:41:53,2025-05-14 12:41:58,4926,Succeeded
Instellen variabelen administratie urls 3,2025-05-14 12:41:59,2025-05-14 12:42:00,769,Succeeded
Instellen variabelen,2025-05-14 12:42:00,2025-05-14 12:42:01,422,Succeeded
Instellen variabelen administratie urls 1,2025-05-14 12:42:02,2025-05-14 12:42:03,1342,Succeeded
Aanmaken nieuwe auditfile op basis van boekjaar in ICT B.V.,2025-05-14 12:42:03,2025-05-14 12:44:21,137879,Succeeded
Aanmaken nieuwe auditfile op basis van periode in ICT B.V.,2025-05-14 12:44:21,2025-05-14 12:44:44,22910,Succeeded
Importeren Import definities part 7,2025-05-14 12:44:47,2025-05-14 12:45:15,27695,Succeeded
Importeren Import definities part 6,2025-05-14 12:45:16,2025-05-14 12:45:44,27579,Succeeded
Importeren Import definities part 5,2025-05-14 12:45:45,2025-05-14 12:46:13,27961,Succeeded
Importeren Import definities part 4,2025-05-14 12:46:14,2025-05-14 12:47:36,82028,Succeeded
Importeren Import definities part 3,2025-05-14 12:47:37,2025-05-14 12:48:31,53592,Succeeded
Importeren Import definities part 2,2025-05-14 12:48:32,2025-05-14 12:49:00,28013,Succeeded
Importeren Import definities part 1,2025-05-14 12:49:01,2025-05-14 12:49:35,33427,Succeeded
Import volledige e-inkoopfactuur,2025-05-14 12:49:36,2025-05-14 12:50:34,57666,Succeeded
Import onvolledige e-inkoopfactuur,2025-05-14 12:50:34,2025-05-14 12:50:49,14737,Succeeded
Grootboekrekening wijzigen,2025-05-14 12:50:50,2025-05-14 12:51:13,23267,Succeeded
Grootboekrekening kopiëren,2025-05-14 12:51:14,2025-05-14 12:51:28,13875,Succeeded
Controle op conversie van geblokkeerde grootboekrekening - Nummer mag niet leeg zijn,2025-05-14 12:51:28,2025-05-14 12:51:38,9882,Succeeded
Verkoopregels activering aan ict b.v.,2025-05-14 12:51:39,2025-05-14 12:51:55,16151,Succeeded
Activering verkoopregels aan in import b.v.,2025-05-14 12:51:56,2025-05-14 12:52:57,61075,Succeeded
Verkoopproduct voor gebruik forfatair / Speciaal tarief toevoegen,2025-05-14 12:52:59,2025-05-14 12:53:49,50209,Succeeded
Activering inschakelen voor verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-14 12:53:49,2025-05-14 12:54:07,17812,Succeeded
Voorbereiding - Verkoop op rekening met forfatair / Speciaal btw-tarief,2025-05-14 12:54:07,2025-05-14 12:54:44,36702,Succeeded
Controle van fiscale plan bij vaste activa. Restwaarde moet aangevinkt zijn.,2025-05-14 12:54:45,2025-05-14 12:56:27,102010,Succeeded
inrichten van betalingskorting op de inkoopfactuur - crediteur niveau,2025-05-14 12:56:29,2025-05-14 12:56:44,15393,Succeeded
Aanmaken Rabobank rekening bij Holding t.b.v. inlezen Rabobank Payments Insight bestand.,2025-05-14 12:56:45,2025-05-14 12:57:12,26771,Succeeded
Aanmaken ondernemer in Internet,2025-05-14 12:57:13,2025-05-14 12:57:32,19347,Succeeded
