description,startTime,endTime,duration,status
Aanmaken aanmaken met gebruik van de KvK koppeling in een geconverteerde omgeving - Mantel Utrecht B.V.,2025-05-23 09:15:23,2025-05-23 09:19:45,261844,Succeeded
Instellen variabelen administratie urls na aanmaken adminstratie,2025-05-23 09:19:46,2025-05-23 09:19:49,3105,Succeeded
Instellen variabelen administratie urls 3,2025-05-23 09:19:50,2025-05-23 09:19:51,317,Succeeded
Instellen variabelen,2025-05-23 09:19:51,2025-05-23 09:19:51,388,Succeeded
Instellen variabelen administratie urls 1,2025-05-23 09:19:52,2025-05-23 09:19:54,1035,Succeeded
Aanmaken nieuwe auditfile op basis van boekjaar in ICT B.V.,2025-05-23 09:19:54,2025-05-23 09:20:29,35643,Succeeded
Aanmaken nieuwe auditfile op basis van periode in ICT B.V.,2025-05-23 09:20:30,2025-05-23 09:20:50,20004,Succeeded
Importeren Import definities part 7,2025-05-23 09:20:51,2025-05-23 09:21:19,27101,Succeeded
Importeren Import definities part 6,2025-05-23 09:21:20,2025-05-23 09:21:47,27476,Succeeded
Importeren Import definities part 5,2025-05-23 09:21:48,2025-05-23 09:22:16,27717,Succeeded
Importeren Import definities part 4,2025-05-23 09:22:17,2025-05-23 09:23:37,79803,Succeeded
Importeren Import definities part 3,2025-05-23 09:23:38,2025-05-23 09:24:12,33934,Succeeded
Importeren Import definities part 2,2025-05-23 09:24:13,2025-05-23 09:24:40,26926,Succeeded
Importeren Import definities part 1,2025-05-23 09:24:41,2025-05-23 09:25:14,33397,Succeeded
Import volledige e-inkoopfactuur,2025-05-23 09:25:16,2025-05-23 09:25:49,33246,Succeeded
Import onvolledige e-inkoopfactuur,2025-05-23 09:25:49,2025-05-23 09:26:02,12920,Succeeded
Grootboekrekening wijzigen,2025-05-23 09:26:03,2025-05-23 09:26:16,12537,Succeeded
Grootboekrekening kopiëren,2025-05-23 09:26:16,2025-05-23 09:26:29,13293,Succeeded
Controle op conversie van geblokkeerde grootboekrekening - Nummer mag niet leeg zijn,2025-05-23 09:26:30,2025-05-23 09:26:39,9710,Succeeded
Verkoopregels activering aan ict b.v.,2025-05-23 09:26:41,2025-05-23 09:26:52,11630,Succeeded
Activering verkoopregels aan in import b.v.,2025-05-23 09:26:54,2025-05-23 09:27:15,21026,Succeeded
