description,startTime,endTime,duration,status
Aanmaken aanmaken met gebruik van de KvK koppeling in een geconverteerde omgeving - Mantel Utrecht B.V.,2025-05-10 22:39:51,2025-05-10 22:45:42,351004,Succeeded
Instellen variabelen administratie urls na aanmaken adminstratie,2025-05-10 22:45:42,2025-05-10 22:45:49,6669,Succeeded
Instellen variabelen administratie urls 3,2025-05-10 22:45:50,2025-05-10 22:45:51,889,Succeeded
Instellen variabelen,2025-05-10 22:45:52,2025-05-10 22:45:57,5308,Succeeded
Instellen variabelen administratie urls 1,2025-05-10 22:45:58,2025-05-10 22:46:02,4022,Succeeded
Aanmaken nieuwe auditfile op basis van boekjaar in ICT B.V.,2025-05-10 22:46:02,2025-05-10 22:47:54,111518,Succeeded
Aanmaken nieuwe auditfile op basis van periode in ICT B.V.,2025-05-10 22:47:54,2025-05-10 22:48:17,23029,Succeeded
Importeren Import definities part 7,2025-05-10 22:48:19,2025-05-10 22:48:50,30440,Succeeded
Importeren Import definities part 6,2025-05-10 22:48:51,2025-05-10 22:49:18,27432,Succeeded
Importeren Import definities part 5,2025-05-10 22:49:20,2025-05-10 22:49:47,27776,Succeeded
Importeren Import definities part 4,2025-05-10 22:49:48,2025-05-10 22:51:10,81765,Succeeded
Importeren Import definities part 3,2025-05-10 22:51:11,2025-05-10 22:51:46,34697,Succeeded
Importeren Import definities part 2,2025-05-10 22:51:47,2025-05-10 22:52:15,28081,Succeeded
Importeren Import definities part 1,2025-05-10 22:52:17,2025-05-10 22:53:09,52346,Succeeded
Import volledige e-inkoopfactuur,2025-05-10 22:53:10,2025-05-10 22:54:06,55641,Succeeded
Import onvolledige e-inkoopfactuur,2025-05-10 22:54:06,2025-05-10 22:54:21,14540,Succeeded
Grootboekrekening wijzigen,2025-05-10 22:54:22,2025-05-10 22:54:45,23147,Succeeded
Grootboekrekening kopiëren,2025-05-10 22:54:45,2025-05-10 22:54:59,14002,Succeeded
Controle op conversie van geblokkeerde grootboekrekening - Nummer mag niet leeg zijn,2025-05-10 22:55:00,2025-05-10 22:55:09,9765,Succeeded
Verkoopregels activering aan ict b.v.,2025-05-10 22:55:11,2025-05-10 22:55:26,15175,Succeeded
Activering verkoopregels aan in import b.v.,2025-05-10 22:55:27,2025-05-10 22:56:28,61035,Succeeded
